,medicine,links
0,Abseamed,https://pillintrip.com/medicine/abseamed
1,Accutane,https://pillintrip.com/medicine/accutane
2,Abilify Discmelt (Oral),https://pillintrip.com/medicine/abilify-discmelt-oral
3,Amuco 200,https://pillintrip.com/medicine/amuco-200
4,Aerius,https://pillintrip.com/medicine/aerius
5,Adenuric,https://pillintrip.com/medicine/adenuric
6,Amrizole,https://pillintrip.com/medicine/amrizole
7,Aspirin Effect,https://pillintrip.com/medicine/aspirin-effect
8,Acetadote,https://pillintrip.com/medicine/acetadote
9,Aerinaze (Desloratadine_Pseudoephedrine),https://pillintrip.com/medicine/aerinaze-desloratadine-pseudoephedrine
10,Abenol,https://pillintrip.com/medicine/abenol
11,Actigrip Giorno e Notte,https://pillintrip.com/medicine/actigrip-giorno-e-notte
12,Aricept,https://pillintrip.com/medicine/aricept
13,Antabuse,https://pillintrip.com/medicine/antabuse
14,Amoklavin Bid,https://pillintrip.com/medicine/amoklavin-bid
15,Actikerall,https://pillintrip.com/medicine/actikerall
16,Ampicillin,https://pillintrip.com/medicine/ampicillin
17,Acclean,https://pillintrip.com/medicine/acclean
18,Adco-Zetomax CO,https://pillintrip.com/medicine/adco-zetomax-co
19,Antiverrugas Isdin,https://pillintrip.com/medicine/antiverrugas-isdin
20,Augmentin,https://pillintrip.com/medicine/augmentin
21,Arinac,https://pillintrip.com/medicine/arinac
22,Aurimycine,https://pillintrip.com/medicine/aurimycine
23,Acetylcysteine Sandoz,https://pillintrip.com/medicine/acetylcysteine-sandoz
24,Analgilasa,https://pillintrip.com/medicine/analgilasa
25,Amoxil,https://pillintrip.com/medicine/amoxil
26,Actifed (Pseudoephedrine_Triprolidine),https://pillintrip.com/medicine/actifed-pseudoephedrine-triprolidine
27,Alerest,https://pillintrip.com/medicine/alerest
28,Alfacort,https://pillintrip.com/medicine/alfacort
29,Atripla (Efavirenz Emtricitabine Tenofovir),https://pillintrip.com/medicine/atripla-efavirenz-emtricitabine-tenofovir
30,Addaprin,https://pillintrip.com/medicine/addaprin
31,Acetylcysteine Alveda,https://pillintrip.com/medicine/acetylcysteine-alveda
32,Actifed Rhume Jour & Nuit,https://pillintrip.com/medicine/actifed-rhume-jour-nuit
33,Atacand ,https://pillintrip.com/medicine/atacand
34,Alipza,https://pillintrip.com/medicine/alipza
35,Atripla (tenofovir),https://pillintrip.com/medicine/atripla-tenofovir
36,Amoxil (Amoxicillin),https://pillintrip.com/medicine/amoxil-amoxicillin
37,Avastatin,https://pillintrip.com/medicine/avastatin
38,Airtal,https://pillintrip.com/medicine/airtal
39,Alfen,https://pillintrip.com/medicine/alfen
40,ACC,https://pillintrip.com/medicine/acc
41,Activelle,https://pillintrip.com/medicine/activelle
42,Anacin (ANALGESICS),https://pillintrip.com/medicine/anacin-analgesics
43,Azur (ANALGESICS),https://pillintrip.com/medicine/azur-analgesics
44,Anaprox,https://pillintrip.com/medicine/anaprox
45,Aggrenox,https://pillintrip.com/medicine/aggrenox
46,Alercet-D,https://pillintrip.com/medicine/alercet-d-
47,Actimol-F,https://pillintrip.com/medicine/actimol-f
48,Angeliq,https://pillintrip.com/medicine/angeliq
49,Accofil,https://pillintrip.com/medicine/accofil
50,Amoxicillin,https://pillintrip.com/medicine/amoxicillin
51,Apo-Chlorhexidine,https://pillintrip.com/medicine/apo-chlorhexidine
52,Atuxane,https://pillintrip.com/medicine/atuxane
53,Aksef,https://pillintrip.com/medicine/aksef
54,ACC200,https://pillintrip.com/medicine/acc200
55,Artril,https://pillintrip.com/medicine/artril
56,Advil,https://pillintrip.com/medicine/advil
57,Ampidox,https://pillintrip.com/medicine/ampidox
58,Acitab DT,https://pillintrip.com/medicine/acitab-dt
59,Acular,https://pillintrip.com/medicine/acular
60,Altacaine,https://pillintrip.com/medicine/altacaine
61,Anestol,https://pillintrip.com/medicine/anestol
62,Acemuk,https://pillintrip.com/medicine/acemuk
63,A/T/S,https://pillintrip.com/medicine/a-t-s
64,Actifed,https://pillintrip.com/medicine/actifed
65,Apotel,https://pillintrip.com/medicine/apotel
66,Algifor Dolo Junior,https://pillintrip.com/medicine/algifor-dolo-junior
67,A-Acido,https://pillintrip.com/medicine/a-acido
68,Algoflex Forte,https://pillintrip.com/medicine/algoflex-forte
69,Avodart,https://pillintrip.com/medicine/avodart
70,Aknecolor,https://pillintrip.com/medicine/aknecolor
71,Actron (NSAID ),https://pillintrip.com/medicine/actron-nsaid
72,ACT,https://pillintrip.com/medicine/act
73,Avamigran,https://pillintrip.com/medicine/avamigran
74,Aldactone(Spironolactone),https://pillintrip.com/medicine/aldactone-spironolactone
75,Actifedrin (Pseudoephedrine_Triprolidine),https://pillintrip.com/medicine/actifedrin-pseudoephedrine-triprolidine
76,Alesse 21,https://pillintrip.com/medicine/alesse-21
77,Algofen,https://pillintrip.com/medicine/algofen
78,Apireks,https://pillintrip.com/medicine/apireks
79,Azithromycin,https://pillintrip.com/medicine/azithromycin
80,Arilin rapid,https://pillintrip.com/medicine/arilin-rapid
81,Actinac Plus,https://pillintrip.com/medicine/actinac-plus
82,Acoin-Lidocainhydrochlorid,https://pillintrip.com/medicine/acoin-lidocainhydrochlorid
83,Abasaglar,https://pillintrip.com/medicine/abasaglar
84,Aciprex,https://pillintrip.com/medicine/aciprex
85,Amilin,https://pillintrip.com/medicine/amilin
86,Acriflex 0.25%,https://pillintrip.com/medicine/acriflex-0-25
87,Apo-Mefenamic,https://pillintrip.com/medicine/apo-mefenamic
88,Arycor,https://pillintrip.com/medicine/arycor
89,Adalgur N,https://pillintrip.com/medicine/adalgur-n
90,Anafen,https://pillintrip.com/medicine/anafen
91,Angal,https://pillintrip.com/medicine/angal
92,Alaxan,https://pillintrip.com/medicine/alaxan
93,Algoflex,https://pillintrip.com/medicine/algoflex
94,Acemuc,https://pillintrip.com/medicine/acemuc
95,Adco-Talomil,https://pillintrip.com/medicine/adco-talomil
96,Artifen,https://pillintrip.com/medicine/artifen
97,Antafen,https://pillintrip.com/medicine/antafen
98,A-Ferin Hot,https://pillintrip.com/medicine/a-ferin-hot
99,Algofren,https://pillintrip.com/medicine/algofren
100,Biaxin,https://pillintrip.com/medicine/biaxin
101,Bactroban,https://pillintrip.com/medicine/bactroban
102,Bactrim,https://pillintrip.com/medicine/bactrim
103,Benadryl ,https://pillintrip.com/medicine/benadryl
104,Butopan,https://pillintrip.com/medicine/butopan
105,Bronchenolo Tosse,https://pillintrip.com/medicine/bronchenolo-tosse
106,BoxaGrippal,https://pillintrip.com/medicine/boxagrippal
107,Baneocin,https://pillintrip.com/medicine/baneocin
108,Buscopan (Scopolamine hydrobromide),https://pillintrip.com/medicine/buscopan-scopolamine-hydrobromide
109,Brupacil,https://pillintrip.com/medicine/brupacil
110,Betamethasone dipropionate,https://pillintrip.com/medicine/betamethasone-dipropionate
111,Buscapina,https://pillintrip.com/medicine/buscapina
112,ben-u-ron (Acetaminophen),https://pillintrip.com/medicine/ben-u-ron-acetaminophen
113,Butilbrometo de Escopolamina,https://pillintrip.com/medicine/butilbrometo-de-escopolamina
114,Beprosone,https://pillintrip.com/medicine/beprosone
115,Bisoltussin,https://pillintrip.com/medicine/bisoltussin
116,Buscofen,https://pillintrip.com/medicine/buscofen
117,Biltricide,https://pillintrip.com/medicine/biltricide
118,Betnesol,https://pillintrip.com/medicine/betnesol
119,Bronchenolo Sedativo e Fluidificante,https://pillintrip.com/medicine/bronchenolo-sedativo-e-fluidificante
120,Betasid,https://pillintrip.com/medicine/betasid
121,Beta-Micoter,https://pillintrip.com/medicine/beta-micoter-
122,Bactroban 2%,https://pillintrip.com/medicine/bactroban-2
123,Blisovi 24 FE,https://pillintrip.com/medicine/blisovi-24-fe
124,Biaxin XL,https://pillintrip.com/medicine/biaxin-xl
125,Bi-Profenid,https://pillintrip.com/medicine/bi-profenid-
126,Betnovate-RD,https://pillintrip.com/medicine/betnovate-rd
127,Basicaina,https://pillintrip.com/medicine/basicaina
128,Brufen,https://pillintrip.com/medicine/brufen
129,BUCCOLAM,https://pillintrip.com/medicine/buccolam
130,Baciderma,https://pillintrip.com/medicine/baciderma
131,Betnovate,https://pillintrip.com/medicine/betnovate
132,Bisbacter,https://pillintrip.com/medicine/bisbacter
133,Bactrim F,https://pillintrip.com/medicine/bactrim-f
134,Breva,https://pillintrip.com/medicine/breva
135,Bac-Neo-Poly,https://pillintrip.com/medicine/bac-neo-poly
136,Bronpect-D,https://pillintrip.com/medicine/bronpect-d
137,Betafed,https://pillintrip.com/medicine/betafed
138,Benalet,https://pillintrip.com/medicine/benalet
139,Bisolvon Tosse Sedativo,https://pillintrip.com/medicine/bisolvon-tosse-sedativo
140,Buscapina Compositum,https://pillintrip.com/medicine/buscapina-compositum
141,Bactrim forte,https://pillintrip.com/medicine/bactrim-forte
142,Bedicort G,https://pillintrip.com/medicine/bedicort-g
143,Bipax,https://pillintrip.com/medicine/bipax
144,Ben-U-Ron,https://pillintrip.com/medicine/ben-u-ron
145,Belosalic (Betamethasone_Salicylic acid),https://pillintrip.com/medicine/belosalic-betamethasone-salicylic-acid
146,Bodrex,https://pillintrip.com/medicine/bodrex
147,Becotide,https://pillintrip.com/medicine/becotide
148,Bactrim DS,https://pillintrip.com/medicine/bactrim-ds
149,Bactroban Ointment,https://pillintrip.com/medicine/bactroban-ointment
150,Bactrocine,https://pillintrip.com/medicine/bactrocine
151,Belara,https://pillintrip.com/medicine/belara
152,Bisoprolol/Hydrochlorothiazide Sandoz,https://pillintrip.com/medicine/bisoprolol-hydrochlorothiazide-sandoz
153,Balkatrin,https://pillintrip.com/medicine/balkatrin
154,Brufen (ibuprofen),https://pillintrip.com/medicine/brufen-ibuprofen
155,Buscopan,https://pillintrip.com/medicine/buscopan
156,Benadon,https://pillintrip.com/medicine/benadon
157,Benamine,https://pillintrip.com/medicine/benamine
158,Beechams All-in-One,https://pillintrip.com/medicine/beechams-all-in-one
159,Betacap,https://pillintrip.com/medicine/betacap
160,Buspon,https://pillintrip.com/medicine/buspon
161,Bisoltussin voor kinderen,https://pillintrip.com/medicine/bisoltussin-voor-kinderen
162,Betaserc,https://pillintrip.com/medicine/betaserc
163,Bactrim DS (Oral),https://pillintrip.com/medicine/bactrim-ds-oral
164,Bronkyl,https://pillintrip.com/medicine/bronkyl
165,Balminil DM + Expectorant,https://pillintrip.com/medicine/balminil-dm-expectorant
166,Betamethasone,https://pillintrip.com/medicine/betamethasone
167,Brilinta,https://pillintrip.com/medicine/brilinta
168,BisoHexal,https://pillintrip.com/medicine/bisohexal
169,Bucoxol Tos,https://pillintrip.com/medicine/bucoxol-tos
170,Brexin,https://pillintrip.com/medicine/brexin
171,Beprogel,https://pillintrip.com/medicine/beprogel
172,Bronal,https://pillintrip.com/medicine/bronal
173,Brilique,https://pillintrip.com/medicine/brilique
174,Biseptol,https://pillintrip.com/medicine/biseptol
175,Betafusin,https://pillintrip.com/medicine/betafusin
176,Benylin (guaifenesin),https://pillintrip.com/medicine/benylin-guaifenesin
177,Betagalen,https://pillintrip.com/medicine/betagalen
178,Bufferin Plus,https://pillintrip.com/medicine/bufferin-plus
