,title,director_and_actors,year,ratings,number_of_users_rated
0,The Shawshank Redemption,"Frank Darabont (dir.), Tim Robbins, Morgan Freeman",(1994),9.2,"9.2 based on 2,516,822 user ratings"
1,The Godfather,"Francis Ford Coppola (dir.), Marlon Brando, Al Pacino",(1972),9.1,"9.1 based on 1,733,380 user ratings"
2,The Godfather: Part II,"Francis Ford Coppola (dir.), Al Pacino, Robert De Niro",(1974),9.0,"9.0 based on 1,202,833 user ratings"
3,The Dark Knight,"Christopher Nolan (dir.), Christian Bale, Heath Ledger",(2008),9.0,"9.0 based on 2,467,101 user ratings"
4,12 Angry Men,"Sidney Lumet (dir.), Henry Fonda, Lee J. Cobb",(1957),8.9,"8.9 based on 743,280 user ratings"
5,Schindler's List,"Steven Spielberg (dir.), Liam Neeson, Ralph Fiennes",(1993),8.9,"8.9 based on 1,286,660 user ratings"
6,The Lord of the Rings: The Return of the King,"Peter Jackson (dir.), Elijah Wood, Viggo Mortensen",(2003),8.9,"8.9 based on 1,737,826 user ratings"
7,Pulp Fiction,"Quentin Tarantino (dir.), John Travolta, Uma Thurman",(1994),8.8,"8.8 based on 1,940,024 user ratings"
8,"Il buono, il brutto, il cattivo","Sergio Leone (dir.), Clint Eastwood, Eli Wallach",(1966),8.8,"8.8 based on 728,150 user ratings"
9,The Lord of the Rings: The Fellowship of the Ring,"Peter Jackson (dir.), Elijah Wood, Ian McKellen",(2001),8.8,"8.8 based on 1,758,864 user ratings"
10,Fight Club,"David Fincher (dir.), Brad Pitt, Edward Norton",(1999),8.7,"8.7 based on 1,979,357 user ratings"
11,Forrest Gump,"Robert Zemeckis (dir.), Tom Hanks, Robin Wright",(1994),8.7,"8.7 based on 1,942,246 user ratings"
12,Inception,"Christopher Nolan (dir.), Leonardo DiCaprio, Joseph Gordon-Levitt",(2010),8.7,"8.7 based on 2,212,436 user ratings"
